"행정구역","2026년04월_거주자 인구수","2026년04월_세대수","2026년04월_세대당 인구","2026년04월_남자 인구수","2026년04월_여자 인구수","2026년04월_남여 비율"
"서울특별시  (1100000000)","9,233,066","4,475,463","          2.06","4,444,168","4,788,898","          0.93"
"서울특별시 종로구 (1111000000)","135,081","71,441","          1.89","64,581","70,500","          0.92"
"서울특별시 중구 (1114000000)","116,427","62,971","          1.85","55,851","60,576","          0.92"
"서울특별시 용산구 (1117000000)","197,183","100,151","          1.97","93,631","103,552","          0.90"
"서울특별시 성동구 (1120000000)","272,909","132,480","          2.06","131,566","141,343","          0.93"
"서울특별시 광진구 (1121500000)","328,723","170,277","          1.93","157,183","171,540","          0.92"
"서울특별시 동대문구 (1123000000)","349,491","178,630","          1.96","170,129","179,362","          0.95"
"서울특별시 중랑구 (1126000000)","374,803","188,745","          1.99","182,748","192,055","          0.95"
"서울특별시 성북구 (1129000000)","419,853","198,104","          2.12","200,303","219,550","          0.91"
"서울특별시 강북구 (1130500000)","276,525","141,252","          1.96","132,752","143,773","          0.92"
"서울특별시 도봉구 (1132000000)","297,059","137,936","          2.15","143,234","153,825","          0.93"
"서울특별시 노원구 (1135000000)","479,965","216,078","          2.22","229,458","250,507","          0.92"
"서울특별시 은평구 (1138000000)","450,831","212,734","          2.12","213,092","237,739","          0.90"
"서울특별시 서대문구 (1141000000)","298,046","145,604","          2.05","140,485","157,561","          0.89"
"서울특별시 마포구 (1144000000)","353,917","178,526","          1.98","164,199","189,718","          0.87"
"서울특별시 양천구 (1147000000)","420,607","177,880","          2.36","204,586","216,021","          0.95"
"서울특별시 강서구 (1150000000)","545,653","272,224","          2.00","260,299","285,354","          0.91"
"서울특별시 구로구 (1153000000)","380,796","183,461","          2.08","185,878","194,918","          0.95"
"서울특별시 금천구 (1154500000)","221,562","120,942","          1.83","111,078","110,484","          1.01"
"서울특별시 영등포구 (1156000000)","368,598","191,258","          1.93","179,516","189,082","          0.95"
"서울특별시 동작구 (1159000000)","369,852","186,435","          1.98","178,441","191,411","          0.93"
"서울특별시 관악구 (1162000000)","474,894","288,482","          1.65","238,386","236,508","          1.01"
"서울특별시 서초구 (1165000000)","410,939","171,429","          2.40","195,097","215,842","          0.90"
"서울특별시 강남구 (1168000000)","546,252","239,876","          2.28","260,604","285,648","          0.91"
"서울특별시 송파구 (1171000000)","646,319","286,834","          2.25","309,275","337,044","          0.92"
"서울특별시 강동구 (1174000000)","496,781","221,713","          2.24","241,796","254,985","          0.95"
